customer_id,name,age,gender,marital_status,number_of_dependents,annual_income,occupation,health_status,smoking_status,policy_type,coverage_amount,monthly_premium,policy_start_date
mostly9f-eecd-4b86-acf8-863396dcfcb7,Kathleen Hernandez,42,Female,Single,0,68000,Teacher,Excellent,Non-smoker,Term Life,150000,52.7,10/7/22
mostly49-bf57-4f8c-aa36-369c5014f7c0,Tyler Kelly,38,Male,Married,2,138000,Retired,Excellent,Non-smoker,Whole Life,400000,668.8,8/16/22
mostly51-222e-4815-9378-0541d5b76b0a,Jessica Wright,38,Male,Married,2,88000,Nurse,Excellent,Non-smoker,Term Life,750000,112.8,1/21/22
mostly2b-fcf4-44dc-a9e9-6bed4738ff8e,Jeffrey Reyes,29,Male,Widowed,0,42000,Retired,Excellent,Non-smoker,Term Life,100000,56.9,9/2/22
mostly32-514f-4861-ad60-de99df512cea,Diane Ward,30,Male,Single,0,52000,Marketing Manager,Excellent,Non-smoker,Term Life,250000,55.6,7/1/22
mostly42-7570-4e7d-ae15-6dca41406972,Sarah Hall,55,Female,Married,3,148000,Nurse,Fair,Non-smoker,Term Life,520000,153,7/11/22
mostlya6-74e4-4949-b13f-a53506fa3550,Karen Garcia,65,Male,Married,2,78000,Data Analyst,Fair,Former smoker,Variable Life,400000,130.5,5/30/22
mostly1a-21d4-4790-b4df-fcadf5b15e61,Anna Davis,58,Female,Married,3,42000,Financial Analyst,Good,Non-smoker,Universal Life,700000,698.4,8/20/22
mostly04-c3cc-4522-bd4f-79cf3eaf9176,Justin Hernandez,47,Female,Divorced,0,70000,Financial Analyst,Good,Non-smoker,Term Life,100000,38.1,7/7/22
mostly65-1c00-4030-9bff-9d6176394909,Adam Barnes,38,Male,Married,0,88000,Marketing Coordinator,Good,Non-smoker,Term Life,200000,96.8,5/21/22
mostly2e-aedb-4152-a6f0-30730e9c5824,Margaret Brooks,26,Male,Single,0,42000,Data Analyst,Fair,Former smoker,Term Life,100000,78.3,1/16/22
mostlyf2-0f1b-4649-92d4-22e41000f77f,Rebecca Perry,29,Male,Married,2,52000,Electrical Engineer,Good,Non-smoker,Whole Life,500000,424.4,9/12/22
mostlyd2-5e1c-4aa4-b3a8-d9b06a85afbc,Justin Bennett,36,Male,Married,2,179000,Sales Director,Fair,Current smoker,Universal Life,500000,268.9,4/22/22
mostly2c-6c9e-4353-b3fd-65dfba8c68fd,Anna Young,26,Male,Single,0,52000,Software Engineer,Good,Non-smoker,Term Life,200000,32.8,12/3/22
mostly47-b4a2-4a0a-aedc-4d83afeca2b6,Daniel Robinson,40,Female,Married,1,88000,Operations Manager,Excellent,Non-smoker,Term Life,200000,78.4,8/29/22
mostly9b-39be-48a8-86b8-4f878af06d4b,Pamela Morris,39,Female,Married,0,76000,Retired,Good,Non-smoker,Term Life,250000,56.6,4/11/22
mostly13-07d5-4d65-ad77-2a24c09480d6,Carol Mitchell,40,Female,Married,2,42000,Research Assistant,Good,Non-smoker,Whole Life,420000,141.1,11/1/22
mostly5b-11c1-4274-ae71-09c39b8dc6db,Mark Richardson,45,Female,Married,2,125000,Marketing Manager,Good,Non-smoker,Whole Life,500000,88.5,5/11/22
mostly43-aa7e-411d-a1a1-2e157fc826a1,Sharon Hughes,50,Female,Married,2,120000,Sales Director,Excellent,Non-smoker,Whole Life,520000,157.6,1/25/22
mostly6a-d844-47bd-91fa-a8de7dc76708,Jacob Phillips,35,Male,Married,3,42000,Marketing Specialist,Good,Former smoker,Universal Life,400000,261.1,2/22/22
mostly17-8130-4eec-bc3b-2ad5430ed44f,Charles Wood,63,Male,Divorced,1,76000,Retired,Fair,Former smoker,Whole Life,100000,687.8,7/25/22
mostlyd5-7f10-413b-b0e2-315a864f16b5,Jack Moore,39,Female,Single,0,56000,HR Specialist,Good,Non-smoker,Term Life,150000,45.7,10/25/22
mostlyb8-7d57-4161-bfe5-4203e9816e5d,Jerry Roberts,53,Male,Married,2,180000,HR Manager,Good,Former smoker,Whole Life,750000,325.2,3/21/22
mostlyd2-1ee2-45dd-861f-ba0b46fa98bb,Mary Jones,33,Female,Single,0,63000,Marketing Manager,Excellent,Non-smoker,Variable Life,250000,111,3/4/22
mostlyec-1166-4a8a-ada5-fb8acd16bd66,Gary Lee,45,Female,Married,3,120000,Electrical Engineer,Good,Non-smoker,Whole Life,520000,213.4,7/22/22
mostlyb0-7cda-49ee-bc93-e8b2cf79b588,Michael Cooper,58,Female,Married,2,90000,Marketing Specialist,Good,Non-smoker,Whole Life,1200000,210,9/14/22
mostly19-7513-4aa5-a635-6fba267a8248,Benjamin Garcia,39,Male,Married,2,76000,Marketing Coordinator,Good,Former smoker,Universal Life,400000,144.9,7/7/22
mostly1f-a130-46b7-b806-88130eb9c2ec,Maria Rivera,33,Female,Single,0,72000,Operations Manager,Excellent,Non-smoker,Term Life,150000,52.9,4/18/22
mostly7d-10f4-438a-92d4-d40ac1502829,Joseph Robinson,41,Male,Married,1,42000,Electrical Engineer,Excellent,Non-smoker,Universal Life,600000,482.3,8/17/22
mostly94-641a-47f3-98c6-71c345739642,William Henderson,58,Male,Divorced,1,65000,Marketing Manager,Excellent,Non-smoker,Whole Life,700000,326.1,7/11/22
mostlybc-d911-4768-beca-f7f768b2d69c,Heather Edwards,41,Female,Single,0,72000,Operations Manager,Excellent,Non-smoker,Term Life,150000,60.8,1/25/22
mostly71-10e3-4c74-bf47-29225b142155,Aaron Wright,39,Male,Single,0,56000,Data Analyst,Excellent,Non-smoker,Term Life,150000,61.1,3/3/22
mostly43-458a-4468-9908-c1a109244eed,Sarah Allen,26,Female,Single,0,72000,Content Creator,Good,Non-smoker,Term Life,120000,65.5,1/18/22
mostlyce-ba6b-4609-94d6-b840643e1d59,Jason Howard,42,Female,Married,3,112000,Operations Manager,Good,Non-smoker,Term Life,650000,267.1,6/28/22
mostly88-353e-4f7c-8c38-8c60076fd1da,Nicholas Diaz,38,Female,Single,0,64000,Electrical Engineer,Excellent,Non-smoker,Term Life,110000,58.6,4/9/22
mostly80-a280-49e0-b39c-a5de58d3cb5e,Frank Peterson,63,Female,Single,0,54000,Sales Manager,Fair,Former smoker,Whole Life,300000,92.4,2/22/22
mostly8e-ca85-4ed2-9a92-481c255f80c2,Linda Price,28,Male,Single,0,42000,Graphic Designer,Fair,Current smoker,Term Life,120000,61.5,12/14/22
mostly2b-cfcc-4297-b35f-34e6eb9d7c27,Jason Reyes,35,Male,Single,0,54000,Content Creator,Good,Non-smoker,Term Life,170000,68,9/28/22
mostly75-3c32-42c4-9e79-3f6749d826a2,Jacob Ross,32,Male,Married,3,60000,Teacher,Excellent,Non-smoker,Term Life,180000,570.4,5/28/22
mostly33-96ca-4be1-809a-0d3c4851a3c3,Christine Gonzalez,53,Female,Married,3,120000,Operations Manager,Good,Former smoker,Whole Life,850000,312.6,1/21/22
mostlya7-335a-4a10-a9e2-1918736eaa08,Charles Hill,50,Male,Widowed,0,74000,Content Creator,Good,Former smoker,Term Life,250000,52.7,3/16/22
mostlyfc-7518-4ee5-a571-80b4265cf57d,Anna Lopez,54,Female,Married,2,130000,Sales Manager,Excellent,Non-smoker,Term Life,500000,91.4,5/25/22
mostlye0-9ddb-4ef7-bacd-a47be136c97e,Olivia Jackson,26,Male,Married,3,96000,Marketing Manager,Excellent,Non-smoker,Universal Life,600000,421.1,2/27/22
mostly0b-6365-442c-aa19-f7e870e4bae6,James Wilson,65,Male,Married,2,142000,Financial Analyst,Excellent,Former smoker,Term Life,420000,346.8,10/2/22
mostlyee-9bd6-4182-8adc-3c25b9c88174,Angela Russell,54,Male,Married,2,85000,Project Manager,Good,Former smoker,Variable Life,500000,217.6,7/2/22
mostlyce-520b-42ef-9c75-2d31761677d1,Alice Bailey,41,Female,Single,0,78000,Data Analyst,Excellent,Non-smoker,Term Life,100000,61.6,11/3/22
mostlyaf-7cb2-49cb-aba2-72dfac1b2c7d,John Peterson,33,Female,Married,1,75000,HR Specialist,Fair,Non-smoker,Term Life,260000,111.5,12/20/22
mostly43-ec45-4bcb-a76e-5765500202f8,James Wilson,52,Male,Married,3,140000,Marketing Manager,Good,Former smoker,Whole Life,1200000,560.3,8/3/22
mostly41-882a-4b1e-80f5-1e80550725b2,Melissa Perry,51,Female,Married,2,98000,School Principal,Excellent,Non-smoker,Whole Life,300000,143.9,4/16/22
mostly8a-e9ca-45a8-856d-fe02598de94c,Sharon Richardson,58,Female,Married,1,98000,Operations Manager,Good,Non-smoker,Term Life,400000,95.4,11/2/22
mostly6a-5627-4ce9-b1d8-6cb9b57a3b35,James Davis,26,Female,Single,0,52000,Marketing Coordinator,Excellent,Non-smoker,Term Life,100000,24.1,11/19/22
mostly4f-329b-4f83-9847-9e6201d3d664,Julie Morgan,47,Female,Single,0,42000,Retired,Fair,Non-smoker,Term Life,100000,48.1,10/27/22
mostly6c-91e0-4add-9ba9-c2d24eec9e22,Jeffrey Moore,65,Male,Widowed,2,182000,Teacher,Good,Non-smoker,Term Life,420000,511.8,8/15/22
mostlye7-f1e4-45f6-a16c-df475c9f8f90,Betty Ortiz,34,Female,Married,3,78000,Project Manager,Excellent,Non-smoker,Term Life,260000,107.7,11/17/22
mostly08-e36d-4aeb-93cf-659afa837026,Richard Anderson,44,Male,Married,2,61000,Project Manager,Excellent,Former smoker,Universal Life,750000,312.5,8/3/22
mostlye4-c922-440e-a938-3a66ecaaa792,Charles Butler,46,Male,Married,3,103000,Graphic Designer,Good,Non-smoker,Universal Life,300000,263.9,5/21/22
mostly22-3b2d-42f7-8d9c-0c43fdfe503f,Adam Perry,46,Male,Married,2,91000,School Principal,Excellent,Non-smoker,Universal Life,350000,529.9,7/14/22
mostlyaf-4efb-45e6-bec4-78f3ecdb4c12,Daniel Carter,35,Male,Married,3,42000,Content Creator,Excellent,Non-smoker,Universal Life,650000,700,5/23/22
mostlycc-31dd-4588-83ad-391a00bc76dc,James Wilson,26,Male,Single,0,42000,Sales Director,Excellent,Non-smoker,Term Life,120000,40.4,12/6/22
mostly1a-e97b-45c6-97ba-3fce1b24d2bb,Patricia Morales,39,Male,Married,2,69000,Sales Director,Fair,Non-smoker,Universal Life,300000,287,7/11/22
mostlyaa-d593-4616-8b35-8b0fa7fe20c0,Mary Walker,52,Female,Married,2,99000,Data Analyst,Good,Current smoker,Variable Life,650000,293.8,12/20/22
mostly7e-1280-48b2-9d50-11a795852637,Susan Long,64,Female,Widowed,2,92000,Retired,Good,Non-smoker,Whole Life,850000,52.2,3/5/22
mostly9a-2465-435c-ab08-58df7e8653c4,Kathleen Anderson,38,Female,Married,3,98000,Graphic Designer,Fair,Former smoker,Whole Life,350000,120.9,5/19/22
mostly02-42d0-4814-99dd-a71b78e54c6a,Stephanie Rogers,41,Male,Married,2,190000,Electrical Engineer,Good,Non-smoker,Whole Life,700000,423.8,3/29/22
mostly6d-2d73-4aac-b242-72bb6bfb614e,Nicholas Gomez,34,Female,Married,1,95000,Accountant,Good,Non-smoker,Whole Life,440000,91.6,9/28/22
mostly7e-bcba-4cea-a095-782e697b4dda,Jessica Moore,39,Female,Married,1,86000,Electrical Engineer,Good,Non-smoker,Term Life,260000,95.9,4/11/22
mostlyf1-b8da-44b9-a477-8ed4d9f01dad,Donald King,45,Male,Divorced,1,66000,Electrical Engineer,Good,Non-smoker,Whole Life,820000,85.5,7/5/22
mostlyce-dc50-425d-8430-60e6f9256dc8,Anthony Barnes,65,Female,Married,2,48000,Marketing Specialist,Good,Non-smoker,Term Life,120000,28.5,9/7/22
mostly3e-1af8-431c-aecf-40578166b47a,Grace Kim,40,Female,Married,1,73000,Project Manager,Good,Non-smoker,Whole Life,260000,305.7,11/9/22
mostlyce-fe58-48eb-995c-2469542724ee,Mark Nguyen,26,Female,Single,0,42000,School Principal,Fair,Non-smoker,Term Life,200000,51.3,4/4/22
mostly7e-96fa-43f8-8d85-3595871d5af6,Kelly Lopez,38,Male,Married,2,86000,HR Manager,Excellent,Non-smoker,Term Life,400000,210.9,10/10/22
mostly29-28a9-4260-b935-9c794903f543,Christopher Perez,26,Female,Married,0,72000,Teacher,Excellent,Non-smoker,Term Life,100000,91.8,6/19/22
mostly60-5c87-4eff-aa74-b2704a2943fe,Lisa Brown,32,Female,Single,0,64000,Software Developer,Fair,Former smoker,Term Life,100000,60.6,6/9/22
mostlyfe-f6d1-46cf-b783-a7e0044a7457,Michael Robinson,52,Male,Single,0,54000,Accountant,Good,Non-smoker,Whole Life,120000,52.7,11/1/22
mostly3f-3a6f-405e-80d4-a246fc4d180e,Anna Morgan,48,Female,Married,2,42000,HR Specialist,Good,Non-smoker,Term Life,300000,96.5,7/3/22
mostly59-104e-42d0-88ea-8d00714bd3c4,Debra Reed,35,Female,Married,2,78000,Sales Manager,Excellent,Non-smoker,Universal Life,500000,113.5,7/8/22
mostlyd3-f7b6-4e30-92db-c370b018ec3d,Jerry Carter,55,Male,Married,2,125000,Data Analyst,Excellent,Non-smoker,Whole Life,500000,561.2,1/28/22
mostlyff-46aa-4226-9ebc-a30c81b6cae8,Emma Sullivan,42,Male,Widowed,0,72000,HR Specialist,Good,Non-smoker,Term Life,250000,131,3/29/22
mostly0b-4fd8-4067-bc0a-93b6b14253d3,Catherine Brooks,36,Female,Married,2,152000,HR Manager,Excellent,Non-smoker,Whole Life,400000,307.8,4/3/22
mostly4d-e69e-4628-a420-df63e03e9f60,Sharon Peterson,35,Male,Married,2,98000,Data Analyst,Good,Non-smoker,Universal Life,300000,120,5/25/22
mostly6a-cdeb-4ac9-951b-590c1cd36bd8,Nicholas Wright,36,Female,Divorced,0,76000,Data Analyst,Good,Non-smoker,Term Life,180000,96.4,12/20/22
mostlyfe-36ad-4638-bea5-58a9ae956960,Ethan Brown,26,Male,Single,0,42000,Data Analyst,Good,Non-smoker,Term Life,150000,71.9,3/9/22
mostly8c-0aaa-4dc9-b8ce-67553e22b0b8,Scott Wilson,54,Female,Married,3,190000,Nurse,Excellent,Non-smoker,Whole Life,700000,327.4,4/12/22
mostly08-1423-47cb-8d6c-5bc515645bd7,Jacob James,65,Female,Married,2,42000,Retired,Fair,Non-smoker,Term Life,300000,88.4,5/9/22
mostlyde-7818-4313-bea3-10db77e34bd8,James Wilson,64,Male,Married,3,102000,IT Manager,Good,Former smoker,Whole Life,900000,159.3,5/22/22
mostly55-29c4-4da2-bf2f-9b4fc723e5b1,Michelle Mitchell,62,Female,Single,0,52000,Graphic Designer,Good,Former smoker,Term Life,100000,63.2,1/18/22
mostly66-a5e4-4ead-8b75-c3b9f4f5430b,Carol Bell,36,Female,Married,2,42000,Electrical Engineer,Good,Non-smoker,Universal Life,500000,141.6,7/29/22
mostly70-25a8-430d-a271-56ebe5013019,Sharon Nguyen,39,Female,Widowed,0,57000,Graphic Designer,Excellent,Non-smoker,Term Life,200000,52.2,2/11/22
mostly70-0a55-4ccb-adb5-73c43ee64617,Brenda Scott,27,Female,Married,0,48000,Operations Manager,Good,Former smoker,Term Life,180000,61,4/30/22
mostly6b-d8b9-402a-b74c-a373385911c9,Andrew Murphy,41,Female,Married,2,42000,Graphic Designer,Good,Non-smoker,Term Life,250000,71.8,7/15/22
mostly3c-5999-4275-a25d-b05fedc05d56,Matthew Williams,39,Male,Married,3,160000,Electrical Engineer,Good,Non-smoker,Universal Life,500000,180.4,4/15/22
mostlye9-be5d-4661-b10e-20545f79c307,Patrick Patterson,38,Male,Married,2,98000,Sales Manager,Fair,Current smoker,Universal Life,800000,243.5,4/13/22
mostlyed-54f0-4e1d-81bd-0da448bbcbf6,Susan Sanchez,63,Female,Widowed,0,150000,Software Engineer,Excellent,Former smoker,Whole Life,120000,185,12/2/22
mostly27-4dda-4a51-a6f0-2669872ab2c5,Nicole Peterson,46,Male,Divorced,0,176000,Nurse,Excellent,Non-smoker,Term Life,200000,214.7,10/9/22
mostlya6-e104-43ad-b4bb-07f6e25e7039,Amy Davis,57,Female,Married,2,42000,Operations Manager,Good,Non-smoker,Universal Life,700000,197.1,3/25/22
mostly67-bd4b-4142-91bd-305b96293c4f,Amy Howard,39,Female,Married,2,42000,Data Analyst,Good,Non-smoker,Universal Life,700000,114,1/20/22
mostlyd1-4d45-4103-9328-b4656ecda6bf,Barbara Jones,33,Male,Married,3,73000,Sales Manager,Excellent,Non-smoker,Variable Life,700000,212.5,4/3/22
mostlye0-b7bb-4d16-9f71-419de6a7313e,Christopher Hernandez,35,Male,Married,2,102000,Sales Manager,Good,Current smoker,Whole Life,400000,320.4,8/5/22
mostly07-6a19-4e1f-9018-b81ae17b4800,John Jenkins,54,Female,Single,0,62000,Content Creator,Excellent,Non-smoker,Term Life,100000,24.5,3/12/22
mostlybe-5de6-4c5a-af25-ea07265d3b77,Charles Johnson,33,Male,Married,1,61000,Operations Manager,Excellent,Non-smoker,Whole Life,500000,506.4,4/5/22
mostly53-7e07-4eb4-8e65-5edbee8127f7,Susan Myers,45,Female,Married,2,99000,Financial Analyst,Excellent,Non-smoker,Whole Life,420000,120.5,7/10/22
mostly96-3cfe-4972-b01e-22184e79b481,Steven Cruz,38,Female,Married,2,67000,Software Engineer,Excellent,Non-smoker,Term Life,800000,114.6,4/3/22
mostly7e-60ea-452f-814d-80c80e298d73,Jessica Bailey,49,Female,Married,2,96000,Electrical Engineer,Good,Non-smoker,Universal Life,750000,265.4,2/17/22
mostly05-fb5b-49ea-a1b2-7429dbda845a,Anthony Foster,65,Male,Married,1,142000,HR Manager,Fair,Former smoker,Term Life,900000,551,9/28/22
mostly79-9e1b-4df2-843e-b18a0c7cb0ec,Sophia Brown,27,Female,Single,0,42000,Marketing Manager,Excellent,Non-smoker,Term Life,120000,40.9,2/22/22
mostlya2-4943-4f7d-acae-22fb4912c279,Daniel Kim,48,Female,Married,2,125000,School Principal,Excellent,Non-smoker,Term Life,300000,303.8,8/22/22
mostlye9-b085-412e-bb12-42bd8531ef7d,David Fisher,43,Male,Married,1,110000,Logistics Coordinator,Excellent,Non-smoker,Universal Life,600000,110.3,3/29/22
mostly34-c439-443f-b300-8cf76b32829d,Jason Perez,55,Male,Married,1,58000,Data Analyst,Good,Non-smoker,Whole Life,300000,88.6,4/9/22
mostly10-382a-4d9d-9f4f-b17e9372af96,Jessica Long,58,Male,Married,3,115000,IT Manager,Good,Non-smoker,Whole Life,500000,680.3,7/28/22
mostly88-dffe-4921-8aff-8bba6f78408d,Stephanie Torres,34,Female,Married,2,98000,Operations Manager,Excellent,Non-smoker,Universal Life,520000,158.1,7/25/22
mostly73-32f0-4bdf-9023-fad24a531cb6,Ryan Peterson,36,Male,Married,1,86000,Project Manager,Good,Non-smoker,Term Life,270000,113.8,8/21/22
mostly7c-2815-4d94-8f27-648a0811ce01,Jonathan Ross,39,Male,Single,0,58000,Sales Manager,Good,Non-smoker,Term Life,200000,34.3,10/3/22
mostly55-4485-49f4-9f6a-29b09630c9e4,Jose Barnes,52,Male,Married,3,100000,Project Manager,Excellent,Non-smoker,Variable Life,700000,186.7,1/18/22
mostly70-9563-47fa-82ac-4a4533643fcd,Rebecca Harris,52,Male,Married,2,130000,Sales Manager,Good,Former smoker,Universal Life,700000,207.6,11/3/22
mostly1c-c8b9-4b1c-96c1-855fc31c9d20,Adam Price,52,Female,Married,2,148000,Sales Manager,Excellent,Non-smoker,Term Life,100000,65.5,4/29/22
mostly7d-a094-459f-9774-6056075c0f81,Jason Allen,26,Male,Single,0,54000,Nurse,Excellent,Non-smoker,Term Life,180000,59.6,11/3/22
mostly04-68de-4658-897e-91d048478bf7,Andrew Lopez,48,Male,Married,2,85000,Sales Manager,Good,Non-smoker,Term Life,600000,69.8,5/15/22
mostlyd3-61b0-4776-bbd1-7c0d820198b3,Maria Stewart,38,Female,Married,1,96000,Financial Analyst,Good,Non-smoker,Variable Life,200000,96.4,4/29/22
mostlya7-c0b4-4859-8d6f-e4d5b93f6cee,Christina Gomez,38,Female,Married,2,94000,Electrical Engineer,Good,Non-smoker,Term Life,200000,696.8,3/20/22
mostlyd0-c595-4d2b-9492-b0b5e991c170,Carol Green,32,Female,Single,0,68000,Teacher,Good,Non-smoker,Universal Life,120000,25.4,9/10/22
